Tag Code,Report Season,Location,latitude,longitude
DE200,1997,El Rosario,30.0595,115.7258
LM896,1997,El Rosario,30.0595,115.7258
MS424,1997,El Rosario,30.0595,115.7258
MZ872,1997,El Rosario,30.0595,115.7258
NB348,1997,El Rosario,30.0595,115.7258
NB564,1997,El Rosario,30.0595,115.7258
NB756,1997,El Rosario,30.0595,115.7258
NH341,1997,El Rosario,30.0595,115.7258
NH514,1997,El Rosario,30.0595,115.7258
NM097,1997,El Rosario,30.0595,115.7258
NT910,1997,El Rosario,30.0595,115.7258
OB396,1997,El Rosario,30.0595,115.7258
OE242,1997,El Rosario,30.0595,115.7258
OL737,1997,El Rosario,30.0595,115.7258
PB278,1997,El Rosario,30.0595,115.7258
PN496,1997,El Rosario,30.0595,115.7258
PN968,1997,El Rosario,30.0595,115.7258
PO226,1997,El Rosario,30.0595,115.7258
PO275,1997,El Rosario,30.0595,115.7258
PP804,1997,El Rosario,30.0595,115.7258
PS574,1997,El Rosario,30.0595,115.7258
PU335,1997,El Rosario,30.0595,115.7258
PW505,1997,El Rosario,30.0595,115.7258
PX518,1997,El Rosario,30.0595,115.7258
QI614,1997,El Rosario,30.0595,115.7258
QL510,1997,El Rosario,30.0595,115.7258
QS019,1997,El Rosario,30.0595,115.7258
QX733,1997,El Rosario,30.0595,115.7258
QX976,1997,El Rosario,30.0595,115.7258
QY293,1997,El Rosario,30.0595,115.7258
QY430,1997,El Rosario,30.0595,115.7258
QZ599,1997,El Rosario,30.0595,115.7258
RB099,1997,El Rosario,30.0595,115.7258
RD332,1997,El Rosario,30.0595,115.7258
RF698,1997,El Rosario,30.0595,115.7258
RI581,1997,El Rosario,30.0595,115.7258
RN109,1997,El Rosario,30.0595,115.7258
RO431,1997,El Rosario,30.0595,115.7258
RQ208,1997,El Rosario,30.0595,115.7258
RQ219,1997,El Rosario,30.0595,115.7258
SA533,1997,El Rosario,30.0595,115.7258
SC453,1997,El Rosario,30.0595,115.7258
SD021,1997,El Rosario,30.0595,115.7258
SZ544,1997,El Rosario,30.0595,115.7258
TN186,1997,El Rosario,30.0595,115.7258
TN921,1997,El Rosario,30.0595,115.7258
UK569,1997,El Rosario,30.0595,115.7258
RP683,1997,Cerro Pelon,19.3918,100.2611
NT274,1997,Sierra Chincua,19.6706,100.2782
